;Full Recipe
267;"<|startofrecipe|>ingredients:
onions
green pepper
salad oil
rice
mushrooms
soy sauce
eggs
directions:
cook and stir
onions
and
green
pepper
in oil until onion is tender.	stir in rice, mushrooms and soy sauce.	cook over low heat
for
10
minutes,
stirring frequently, stir in beaten eggs. cook and stir 2 to 3 minutes longer.<|endofrecipe|>"
268;"<|startofrecipe|>ingredients:
eggs
sugar
flour
milk
oleo
vanilla
directions:
beat eggs.
add sugar and mix well.
stir in flour and milk. beat until smooth.
add melted oleo and stir thoroughly.
add vanilla.
pour onto preheated skillet or griddle.
turn when bubbles appear.<|endofrecipe|>"
269;"<|startofrecipe|>ingredients:
clams
garlic
olive oil
parsley
salt
directions:
drain clams.
heat olive oil in skillet.
add garlic; brown lightly.
add parsley and seasoning.
heat 2 minutes.
serve over cooked spaghetti.<|endofrecipe|>"
270;"<|startofrecipe|>ingredients:
cranberries
pineapple
sugar
flour
cinnamon
nutmeg
salt
directions:
cook fruit until cranberries burst.
cranberries on bottom. blend dry ingredients and stir into fruit.
cook until thickened. cool slightly and pour into 9-inch uncooked pie shell and bake at 350°
for 30 minutes.<|endofrecipe|>"
271;"<|startofrecipe|>ingredients:
margarine
graham cracker crumbs
dream whip
cream cheese
sugar
cold milk
strawberries
directions:
melt margarine and stir in crumbs.
place half of mixture in bottom of baking dish.
whip dream whip and cream cheese with sugar and cold milk.
pour half of the dream whip mixture on crumbs.
spread strawberries on creamed mixture.
spread remainder of creamed mixture on top of strawberries.
sprinkle remainder of crumbs on top.
chill 3 hours or longer.<|endofrecipe|>"
272;"<|startofrecipe|>ingredients:
commerical sour cream
flour
sugar
vanilla extract
salt
egg
fresh blueberries
pastry shell
flour
butter
black walnuts
directions:
combine first 6 ingredients; beat 5 minutes at medium speed of an electric mixer or until smooth.
fold in blueberries.
pour filling into pastry shell.
bake at 400° for 25 minutes.<|endofrecipe|>"
273;"<|startofrecipe|>ingredients:
frankfurters
butter
campbell's chunky
whole kernel golden corn
lima beans
barbecue sauce
directions:
in saucepan, brown frankfurters in butter.
add remaining ingredients.
heat; stir occasionally.
garnish with green pepper rings.
makes about 5 cups.<|endofrecipe|>"
274;"<|startofrecipe|>ingredients:
lemon jell-o
boiling water
lemon juice
cream cheese
sugar
pineapple
vanilla
graham crackers
oleo
directions:
mix first 3 ingredients.
mix next 4 ingredients.
whip milnot until stiff.
roll graham crackers and mix with 1 stick of oleo. press crackers (half) into bottom of pan.
combine the cream cheese mixture into the jell-o mixture and fold in the milnot. put on top of graham crackers.
add remaining crackers on top. chill several hours.<|endofrecipe|>"
275;"<|startofrecipe|>ingredients:
cake flour
sugar
egg white
cream of tartar
salt
vanilla
almond flavoring
directions:
sift of sugar with flour 4 times.
beat whites to a foam.
add cream of tartar and salt and beat till it holds up peaks.
add remaining sugar and flavoring.
fold in flour.<|endofrecipe|>"
276;"<|startofrecipe|>ingredients:
flour
sugar
oil
baby food
eggs
cinnamon
allspice
pecans
directions:
mix all ingredients together.
when fluffy, cook at 300° for 1 hour or until done.<|endofrecipe|>"
277;"<|startofrecipe|>ingredients:
sugar
margarine
pinto beans
eggs
vanilla
directions:
mix all ingredients; pour into 3 unbaked pie shells.
bake at 350° for 35 minutes.<|endofrecipe|>"
278;"<|startofrecipe|>ingredients:
cake mix
peanut butter
oleo
marshmallow cream
directions:
combine melted butter and dry cake mix.
reserve 1 1/4 cups of this for top crust.
pat remaining crumb mixture into ungreased 13 x 9 x 2-inch pan.
top that layer with combined peanut butter and marshmallow cream.
spread evenly.
crumble remaining cake mixture over that.
bake 20 minutes at 350°.
cool; cut into bars.
makes 3 dozen.<|endofrecipe|>"
279;"<|startofrecipe|>ingredients:
confectioners sugar
milk
vanilla
coconut
pecans
chocolate
paraffin
directions:
mix together 1 box confectioners sugar, eagle brand milk and vanilla, then thicken with coconut and then add as many pecans as desired.
mix well.
put in freezer for 2 to 3 hours or until extremely stiff, then roll in balls, using the other box of confectioners sugar to roll in.
set aside.
melt 1/2 to 3/4 of a block of paraffin and 1 box of baker's semi-sweet chocolate.<|endofrecipe|>"
280;"<|startofrecipe|>ingredients:
head lettuce
onion
bacon bits
mayonnaise
swiss cheese
cauliflower
celery
frozen peas
sugar
directions:
layer vegetables in large bowl.
top with bacon bits.
mix mayonnaise and sugar together and pour on top of salad, making sure top is covered completely.
cover and place in refrigerator overnight.
put shredded cheese on top just before serving.<|endofrecipe|>"
281;"<|startofrecipe|>ingredients:
margarine
unsweetened cocoa
light corn syrup
water
vanilla
confectioners sugar
marshmallows
nuts
directions:
grease 8 x 8 x 2-inch baking pan.
in 2-quart saucepan, melt margarine over low heat.
stir in cocoa, corn syrup, water and vanilla until well blended.
remove from heat.
gradually stir in confectioners sugar until well blended and smooth.
stir in marshmallows and nuts.
turn into prepared pan.
cover and refrigerate until firm.
cut into squares.
makes about 1 3/4 pounds.<|endofrecipe|>"
282;"<|startofrecipe|>ingredients:
eggs
sugar
milk
cream
vanilla
salt
milk
directions:
beat with electric mixer.
put in freezer.<|endofrecipe|>"
283;"<|startofrecipe|>ingredients:
persimmon pulp
powdered sugar
graham cracker crumbs
peanuts
marshmallows
whipped cream
directions:
mix pulp, sugar, peanuts and marshmallows.
add graham cracker crumbs.
shape into roll, adding more crumbs, if needed, to retain shape.
chill thoroughly.
serve with whipped cream.<|endofrecipe|>"
284;"<|startofrecipe|>ingredients:
light brown sugar
eggs
flour
cinnamon
milk
candied fruit
pecans
directions:
cream butter and sugar.
add eggs.
add other ingredients and mix well.
drop by teaspoonfuls onto a cookie sheet.
bake at 300 for 20 to 30 minutes.<|endofrecipe|>"
285;"<|startofrecipe|>ingredients:
chicken
tortillas
onion
green pepper
mushroom soup
cream of chicken soup
tomatoes
chili powder
garlic salt
cheddar cheese
directions:
boil chicken; bone and cut up meat.
to the meat, add onion and green pepper.
mix soups, tomatoes, chili powder and garlic salt.
dip each tortilla in chicken broth, then in a buttered 9 x 12-inch baking dish.
place a layer of tortilla, 1/2 the chicken, 1/2 the soup mixture and 1/2 cheese.
repeat layers; bake 30 to 40 minutes in 350° oven until cheese melts.<|endofrecipe|>"
286;"<|startofrecipe|>ingredients:
cream cheese
fresh fruits
powdered sugar
coconut
directions:
press out cookie dough flat on a 13-inch pizza pan or cookie sheet.
bake according to package directions.
cream together cream cheese and powdered sugar.
spread on cooled crust.
top with chopped or sliced fruits and sprinkle with coconut.
yields 1 pizza.<|endofrecipe|>"
287;"<|startofrecipe|>ingredients:
butter
flour
boiling water
vinegar
brown sugar
salt
pepper
ground cloves
directions:
melt fat and stir in flour.
gradually add boiling water and cook until thickened, stirring constantly.
add vinegar, sugar and seasonings.
mix well until sugar dissolves.
add beets and cook until thoroughly heated.
if canned beets are used, substitute 1/4 cup liquid from the can of beets for the water.
makes 6 servings.<|endofrecipe|>"
288;"<|startofrecipe|>ingredients:
bacon
potatoes
onion
clams
water
butter
salt
directions:
dice bacon and onion. saute in soup pot. add remaining ingredients.
heat; do not boil.
may be thickened, if necessary.<|endofrecipe|>"
289;"<|startofrecipe|>ingredients:
fresh cranberries
sugar
orange
walnuts
directions:
in food processor, mix cranberries, sugar and whole orange (cutting it into 2 to 4 parts seems to work better).
mix ingredients in processor until chopped.
transfer mixture into a mixing bowl and add chopped walnuts.
chill and serve.<|endofrecipe|>"
290;"<|startofrecipe|>ingredients:
butter
bananas
eggs
salt
cayenne pepper
milk
parsley
directions:
melt the butter in a skillet and saut the bananas about 5 minutes turning them frequently.
remove from the pan and set aside.
beat the egg yolks with the salt, cayenne pepper and milk. beat the egg whites until stiff and fold the yolks and whites together.
transfer to a buttered 7 x 10 inch shallow casserole and arrange the banana slices on top.
bake in a 350 degree oven for 20 minutes or until lightly browned.
sprinkle with parsley and serve from the casserole.<|endofrecipe|>"
291;"<|startofrecipe|>ingredients:
hamburger
onion
taco
kidney beans
butter beans
tomatoes
tomato sauce
tomato juice
directions:
brown hamburger with onion. drain.
add taco seasoning. combine meat mixture with all remaining ingredients.
simmer 20 minutes.
serve with cheddar cheese, sour cream, crushed corn chips and chopped avocado.
let each person create their own. delicious and fun!<|endofrecipe|>"
292;"<|startofrecipe|>ingredients:
condensed milk
lemon juice
sugar
whipped cream
fruit yogurt
directions:
in a mixing bowl, combine milk and lemon juice. mix well.
add yogurt.
mix well.
spoon mixture into cones.
set upright in glasses or jars and place in freezer.
freeze 3 hours.
top each cone with 1 tablespoon whipped topping.
serves 6.<|endofrecipe|>"
293;"<|startofrecipe|>ingredients:
soy sauce
oil
red wine vinegar
oregano
basil
onion
pepper
directions:
mix all ingredients together and pour over chicken. let set as little as 1 hour or overnight for really juicy chicken.<|endofrecipe|>"
294;"<|startofrecipe|>ingredients:
yellow cake
coconut flavoring
rum flavoring
coconut
nuts
pineapple
directions:
use electric mixer.
prepare cake as directed on box.
stir in remaining ingredients and mix 1 minute.
use muffin cups or grease muffin pans well.
preheat oven to 350°.
bake for 15 to 20 minutes.
i frosted mine with cream cheese frosting.<|endofrecipe|>"
295;"<|startofrecipe|>ingredients:
sugar
red wine vinegar
oil
soy sauce
ramen noodles
walnuts
green onion
broccoli florets
romaine lettuce
directions:
mix all together right before serving. serves 12 to 15.<|endofrecipe|>"
296;"<|startofrecipe|>ingredients:
white sugar
brown sugar
margarine
oil
applesauce
soda
salt
eggs
ground raisins
walnuts
flour
cinnamon
cloves
directions:
beat the sugars (white and brown) and oil together. add eggs and beat again. add applesauce, raisins, salt and soda, then flour. stir in walnuts or pecans.
bake in large flat pan, 13 x 18-inches, at 350°.<|endofrecipe|>"
297;"<|startofrecipe|>ingredients:
oil
lemon
egg yolk
honey
directions:
mix egg yolk slightly.
add oil, 1 drop at a time, until it begins to thicken, then add slowly and steadily.
add lemon juice and honey.
store in fridge.<|endofrecipe|>"
298;"<|startofrecipe|>ingredients:
hamburg
onion
salt
pepper
potatoes
directions:
fry hamburg and onion until brown.
drain off liquid.
add salt and pepper.
spoon into 1-quart casserole and place potatoes on top.
put butter and paprika over potatoes.
bake in a 425° oven for 15 minutes.<|endofrecipe|>"
299;"<|startofrecipe|>ingredients:
apple
flour
sugar
shortening
eggs
salt
baking soda
vanilla
nutmeg
cinnamon
nuts
directions:
mix all ingredients together.
bake in a greased and floured 13 x 9-inch pan.
bake at 350° for 45 minutes.
i use a tube pan.<|endofrecipe|>"
300;"<|startofrecipe|>ingredients:
brown rice
mozzarella cheese
egg
oregano
broccoli flowerets
zucchini
mushrooms
onion
tomato sauce
directions:
combine rice, 1/2 cup cheese and 1/2 teaspoon oregano in a medium bowl.
stir well.
press mixture evenly into a 12-inch pizza pan coated with pam.
bake at 400° for 25 minutes.
coat a large nonstick skillet with pam.
place over medium-high heat until hot.
add broccoli, zucchini, mushrooms and onion.
saute until tender.
combine tomato sauce and remaining oregano.
spread evenly over baked crust.
top with sauteed vegetable mixture. sprinkle with remaining 1 cup cheese.
bake at 400° for 10 minutes or until pizza is thoroughly heated and cheese is melted.
yields 4 servings (255 calories each).<|endofrecipe|>"
301;"<|startofrecipe|>ingredients:
macaroni
ham
frozen broccoli
clove garlic
margarine
heavy cream
parmesan cheese
directions:
cook shells according to package directions.
slice or cube ham; cut broccoli into 1/2-inch pieces.
saute garlic, ham and broccoli in margarine in a large skillet until broccoli is crisp and tender (approximately 5 minutes).
stir in cream.
cook over medium heat 3 minutes.
stir in cheese.
lower heat and cook, stirring often, until cheese is melted.
drain shells and toss with sauce.
serve.<|endofrecipe|>"
302;"<|startofrecipe|>ingredients:
onion
bell peppers
celery
chicken broth
potatoes
soy sauce
directions:
boil all ingredients until tender.
serve over rice.<|endofrecipe|>"
303;"<|startofrecipe|>ingredients:
ground beef
bread crumbs
milk
onion
egg
salt
pepper
lard
water
soy sauce
celery
cornstarch
cold water
bean sprouts
mushroom stems
rice
directions:
mix ground beef, bread crumbs, milk, 2 tablespoons onion, egg, salt and pepper.
shape into 24 meatballs and brown in lard or drippings.
pour off drippings.
dissolve bouillon cubes in hot water; add bouillon, remaining onion, soy sauce and celery to meatballs.
cover tightly and cook slowly for 15 minutes.
remove meatballs.<|endofrecipe|>"
304;"<|startofrecipe|>ingredients:
ground beef
tomatoes
tomato soup
onion
water
mixed vegetables
potatoes
celery
salt
pepper
directions:
add beef, tomatoes, soup and onion in crock-pot.
add water, frozen vegetables, potatoes and celery.
add salt and pepper and other spices of preference.
stir well.
cook at lowest setting for 4 to 6 hours.<|endofrecipe|>"
305;"<|startofrecipe|>ingredients:
marshmallows
pineapple
graham cracker crumb crust
directions:
microwave marshmallows and reserved 1/2 cup pineapple liquid in large microwave safe bowl on high 2 to 2 1/2 minutes, or until smooth when stirred, stirring halfway through heating time. refrigerate 30 minutes or until slightly thickened; mix until well blended.
fold in pineapple and whipped topping.
pour into crust. refrigerate several hours or overnight.
garnish with pineapple chunks and maraschino cherries.
makes 6 servings.<|endofrecipe|>"
306;"<|startofrecipe|>ingredients:
vegetable oil
stalks celery
cabbage
water chestnuts
n
carrots
onion
zucchini
green pepper
directions:
cook vegetables 2 minutes and add water chestnuts and green pepper.
cook until crisp and add sweet-n-sour sauce.<|endofrecipe|>"
307;"<|startofrecipe|>ingredients:
crackers
margarine
butter
sugar
pecans
directions:
preheat oven to 350°.
grease pan.
divide graham crackers into smallest part and put into bottom of pan.
melt together the butter and margarine.
add 1/2 c sugar boil for 2 minutes.
remove from heat add pecans (as many as desired).
mix and pour over graham crackers.
bake for 6 minutes on the bottom rack.<|endofrecipe|>"
308;"<|startofrecipe|>ingredients:
bacon
onion
red cabbage
cooking apples
wine vinegar
sugar
salt
currant jelly
directions:
saute the onion in the bacon drippings or olive oil until tender.
add the cabbage and saute 10 minutes.
add the apples, wine vinegar, sugar and salt.
simmer, covered, 2 hours.
stir and check for burning.
add the jelly and simmer 1/2 hour more.<|endofrecipe|>"
309;"<|startofrecipe|>ingredients:
pineapple
mandarin oranges
maraschino cherries
sour cream
marshmallows
flaked coconut
directions:
drain pineapple, oranges and cherries, put in bowl and mix all ingredients together.
put in refrigerator.<|endofrecipe|>"
310;"<|startofrecipe|>ingredients:
sugar
margarine
crisco
eggs
cake flour
sour cream
vanilla flavoring
directions:
mix sugar, margarine and crisco.
add eggs, one at a time. beat on low.
add flour, sour cream and vanilla.
bake at 325° for about 1 hour and 15 minutes.<|endofrecipe|>"
311;"<|startofrecipe|>ingredients:
flour
baking powder
salt
cinnamon
eggs
nuts
pumpkin
soda
sugar
oil
directions:
bake at 350° for 25 to 30 minutes.<|endofrecipe|>"
312;"<|startofrecipe|>ingredients:
tomato sauce
brown sugar
vinegar
onion
salt
garlic powder
directions:
combine tomato sauce, brown sugar, vinegar, onion, salt, pepper and garlic powder.
simmer on medium heat 5 to 8 minutes.<|endofrecipe|>"
313;"<|startofrecipe|>ingredients:
bread
sausage
swiss cheese
eggs
milk
light cream
salt
pepper
nutmeg
worcestershire sauce
directions:
arrange bread in bottom of greased baking dish (10 x 6-inch). brown sausage and drain off fat.
spoon sausage evenly over bread. sprinkle with cheese.
combine remaining ingredients and pour over all.
bake at 350° for 25 to 30 minutes.
can be made ahead and refrigerated until needed.
if so, bake for 30 to 35 minutes.<|endofrecipe|>"
314;"<|startofrecipe|>ingredients:
onion
green pepper
ground beef
pepperoni
mushrooms
spaghetti
mozzarella cheese
parmesan cheese
directions:
combine onion, green pepper, ground beef and pepperoni in a large skillet.
cook over medium heat until beef browns, stirring to crumble.
add spaghetti sauce and bring to a boil.
cover, reduce heat and simmer 20 minutes, stirring occasionally.<|endofrecipe|>"
315;"<|startofrecipe|>ingredients:
sugar
water
cranberry juice
pineapple juice
orange juice
ginger ale
directions:
bring to a boil the sugar and water until sugar is dissolved. add cranberry, pineapple and orange juices.
when ready to serve, add ginger ale.<|endofrecipe|>"
316;"<|startofrecipe|>ingredients:
flour
oil
eggs
vanilla
sugar
baking powder
peach juice from
peaches
directions:
beat eggs.
then add flour, oil, vanilla, sugar, baking powder and juice.
beat at medium speed until creamy.
grease and flour or spray with ""pam"" a 10-inch tubular pan.
pour 1/2 batter; line with sliced peaches (drained), 1/2 can.
sprinkle sugar and cinnamon.
pour remaining batter.
line with remaining sliced peaches; sprinkle with sugar and cinnamon.
bake at 350° for 1 to 1 1/2 hours, until ""tester"" comes out of cake dry.
(i use a long knife.) enjoy!<|endofrecipe|>"
317;"<|startofrecipe|>ingredients:
oranges
bananas
crushed ice
applesauce
cinnamon
directions:
mix ingredients in blender, adding ice slowly.<|endofrecipe|>"
318;"<|startofrecipe|>ingredients:
ground beef
water
tomato sauce
bay leaves
salt
ground cumin
ground cinnamon
worcestershire sauce
vinegar
ground allspice
chili powder
directions:
lightly brown beef. add water and mix. add all other ingredients. simmer, uncovered, 3 hours. stir occasionally or cook in crock-pot.<|endofrecipe|>"
319;"<|startofrecipe|>ingredients:
cucumbers
onion
butter
tomatoes
salt
pepper
fresh dill
directions:
cook and stir cucumbers and onion in butter or margarine in a skillet for about 5 minutes. stir in tomatoes.
sprinkle with salt and pepper. cook until tomatoes are just heated through. sprinkle with dill and serve hot.<|endofrecipe|>"
320;"<|startofrecipe|>ingredients:
sugar
flour
egg
crisco
butter
vanilla
milk
directions:
mix all ingredients together, except milk.
beat at high speed; slowly add milk.<|endofrecipe|>"
321;"<|startofrecipe|>ingredients:
brown sugar
sugar
oil
eggs
baking powder
salt
flour
cooking oats
coconut
corn flakes
chocolate chips
nuts
directions:
cream together the sugars, oil and eggs.
add baking powder, salt, flour and oats; mix well.
then add coconut, corn flakes, chocolate chips and nuts (optional).
mix well.
drop on cookie sheet.
bake 10 to 12 minutes at 325°.
this takes a very large bowl to mix in.<|endofrecipe|>"
322;"<|startofrecipe|>ingredients:
eggs
all-purpose
sugar
brown sugar
butter
chocolate chips
walnuts
shell
whipped cream
directions:
preheat oven to 325°.
in large bowl, beat eggs until foamy. add flour, sugar and brown sugar.
beat until well blended.
blend in melted butter.
stir in chocolate chips and walnuts.
pour into pie shell.
bake for 1 hour.
serve warm with whipped cream or ice cream.<|endofrecipe|>"
323;"<|startofrecipe|>ingredients:
ground beef
onions
salt
salt
rolls
directions:
mix beef, 2/3 cup french fried onions and seasonings; shape into 6 burgers.
grill or broil 10 minutes or until no longer pink in center, turning twice.
serve on rolls and top with 2/3 cup onions.
makes 6 servings.<|endofrecipe|>"
324;"<|startofrecipe|>ingredients:
cream cheese
cheddar cheese
lemon juice
onion
dry mustard
soy sauce
paprika
salt
parsley
directions:
combine all ingredients in a large bowl.
mix at low speed until well blended.
chill until firm.
shape into ball and roll in chopped pecans.
wrap in foil and refrigerate overnight.<|endofrecipe|>"
325;"<|startofrecipe|>ingredients:
flour
oats
brown sugar
margarine
pumpkin
milk
eggs
sugar
cinnamon
ginger
cloves
walnuts
brown sugar
butter
directions:
combine flour, oats, 1/2 cup brown sugar and 1/2 cup butter in bowl.
mix until crumbly.
press into greased 13 x 9-inch pan. bake at 350° for 15 minutes.
combine pumpkin, evaporated milk, eggs, sugar and spices in mixing bowl.
beat well.
pour into crust.
bake at 350° for 20 minutes.
combine nuts, brown sugar and butter.
sprinkle on top.
bake for 15 to 20 minutes until filling is set.<|endofrecipe|>"
326;"<|startofrecipe|>ingredients:
shell
butter
sugar
flour
eggs
buttermilk
vanilla
nutmeg
directions:
soften butter and add sugar; cream together. add flour and eggs; beat well. stir in buttermilk, vanilla, and nutmeg. pour into unbaked pie shell. bake for 45 to 50 minutes at 350°. place on wire rack to cool before serving.<|endofrecipe|>"
327;"<|startofrecipe|>ingredients:
potatoes
eggs
sugar
vanilla
milk
coconut
pastry shell
directions:
boil sweet potatoes; peel and mash.
beat eggs and combine with potatoes, sugar and vanilla.
stir all together and pour into pastry shell.
bake at 350° for 30 minutes.
let set 15 minutes before serving.<|endofrecipe|>"
328;"<|startofrecipe|>ingredients:
broccoli
cauliflower
chicken broth
butter
onion
flour
milk
cheddar cheese
black pepper
directions:
cut vegetables into small pieces, discarding any of the stem too tough to poke with a fingernail. barely cover with broth and slowly cook until tender. in another pan, saut onion in butter or margarine on medium heat.
add flour to make a roux; slowly add flour, stirring constantly to thicken and prevent lumping. slowly add milk while stirring constantly. lower heat and cook 45 minutes; continue stirring occasionally. serve with grated cheese and pepper.<|endofrecipe|>"
329;"<|startofrecipe|>ingredients:
wesson oil
sugar
eggs
fresh apples
cake flour
salt
soda
vanilla
directions:
mix.
bake
in	three
9-inch pans at 325° for 25 to 30 minutes or until done.<|endofrecipe|>"
330;"<|startofrecipe|>ingredients:
sugar
lemon
cloves
cinnamon
directions:
mix all ingredients.
use 1 tablespoon (heaping) per cup of water.<|endofrecipe|>"
331;"<|startofrecipe|>ingredients:
butter
onion
ground beef
salt
pepper
cream-style
milk
potatoes
directions:
melt butter in skillet.
add onion and cook 5 minutes.
add meat and seasonings.
cook until browned.
add corn and milk.
put potatoes in a 2-quart casserole; cover with meat mixture.
bake, uncovered, in a 375° oven for about 1 1/2 hours.
yield:
6 servings.<|endofrecipe|>"
332;"<|startofrecipe|>ingredients:
flour
shortening
salt
egg
water
vinegar
directions:
cut shortening into flour and salt.
combine egg, water and vinegar.
pour liquid into flour mixture all at once.
blend with spoon, just until flour mixture is all moistened.
this is an easy crust to handle and can be re-rolled without toughening.
bake at 450° for 10 minutes.<|endofrecipe|>"
333;"<|startofrecipe|>ingredients:
sugar
milk
white karo syrup
sugar
directions:
put 2 cups sugar and milk in a saucepan.
add syrup.
put the 1/2 cup sugar in a small skillet and pour enough water over it to moisten good.
turn on low heat under saucepan.
while it is heating, brown the sugar in the skillet.
when brown, pour it into the saucepan.
cook until soft ball forms in cold water.
remove from stove and beat until ready to spread on the cake.
add butter, the size of a walnut, and flavoring.<|endofrecipe|>"
334;"<|startofrecipe|>ingredients:
chicken
apricot preserves
salad dressing
onion soup
directions:
mix ingredients; pour over chicken.
bake for 1 1/2 hours at 350°.<|endofrecipe|>"
335;"<|startofrecipe|>ingredients:
semi-sweet chocolate chips
sweet chocolate chips
condensed milk
vanilla
nuts
directions:
stir and microwave first 3 ingredients for 3 minutes.
stir in vanilla and nuts.
put into pan.<|endofrecipe|>"
336;"<|startofrecipe|>ingredients:
dinner rolls
butterscotch pudding
butter
cinnamon
brown sugar
nuts
directions:
place nuts in bottom of greased bundt pan.
arrange rolls on top.
sprinkle dry pudding over rolls.
cook butter, sugar and cinnamon over low heat until sugar is dissolved and mixture bubbles; pour over rolls.
cover tightly with foil and let stand on counter overnight.
next morning, bake at 350° for 30 minutes (take foil off before baking).
let stand 5 minutes, then invert onto serving dish.<|endofrecipe|>"
337;"<|startofrecipe|>ingredients:
cream cheese
salt
vanilla
confectioners sugar
coconut
directions:
put cream cheese in mixer bowl 30 minutes to soften.
add salt and vanilla.
add 2 cups sugar; beat.
add 2 more cups of sugar; beat.
add remaining sugar and beat well.
cover and chill in refrigerator until firm.
shape into small balls and roll in coconut.
store in a foil-lined metal box in refrigerator.<|endofrecipe|>"
338;"<|startofrecipe|>ingredients:
miracle
tomato soup
vinegar
sweet relish
chili sauce
sugar
mustard
onion
garlic
directions:
mix all ingredients together.
makes 1 1/2 quarts.<|endofrecipe|>"
339;"<|startofrecipe|>ingredients:
milk
butter
yeast
sugar
salt
eggs
flour
directions:
scald milk with butter.
pour into large mixing bowl.
add sugar and salt.
let cool.
add eggs (unbeaten), yeast cake and 1 1/2 cups flour.
mix well for two minutes.
stir remaining flour. put in icebox and let rise overnight.
make rolls at least two hours before cooking.<|endofrecipe|>"
340;"<|startofrecipe|>ingredients:
white sugar
brown sugar
cocoa
flour
eggs
oleo
milk
vanilla
salt
nuts
directions:
mix all ingredients together; add nuts.
pour into a greased and floured cookie sheet.
bake only 23 minutes in a 350° oven. cool and frost.<|endofrecipe|>"
341;"<|startofrecipe|>ingredients:
unsweetened applesauce
margarine
vanilla
oatmeal
allspice
soda
raisins
eggs
brown sugar
cinnamon
flour
salt
nuts
directions:
mix applesauce, margarine, eggs, vanilla and sugar.
add the remaining ingredients.
drop by teaspoon on cookie sheet and bake 15 minutes at 375°.<|endofrecipe|>"
342;"<|startofrecipe|>ingredients:
semi-sweet chocolate
whipping cream
almond
strawberries
directions:
combine chocolate and whipping cream in a glass measuring cup or bowl. microwave at medium power for 1 minute or until the chocolate melts, stirring after 30 seconds. stir in the almond extract and cool slightly. dip each strawberry into the melted chocolate, allowing the excess to drip off. place on waxed paper-lined baking sheet. refrigerate or freeze for approximately 15 minutes, until the chocolate is set.<|endofrecipe|>"
343;"<|startofrecipe|>ingredients:
ground beef
onions
tomatoes
garlic
chunky spaghetti sauce
tamari sauce
beans
directions:
brown meat over medium heat in a large skillet.
remove meat from pan and drain off fat.
stir 1 to 3 tablespoons tamari sauce into meat.
saute onion, garlic and tomatoes.
add spaghetti sauce and heat.
add cooked beans and meat mixture.
stir gently to mix; then simmer to blend flavors.
serve when blended and heated through.
serves 4. serve with garlic bread and green salad.<|endofrecipe|>"
344;"<|startofrecipe|>ingredients:
chicken breasts
onion
tarragon
chicken bouillon
directions:
lightly brown meat side of chicken breasts.
lay all 4 chicken breasts, meat side down, in small (8-inch) skillet.
add enough water, with chicken bouillon, added to just cover chicken.
add onion over top of chicken.
sprinkle with tarragon.
bring to boil and reduce heat to medium.
cover skillet with well-fitting lid and cook approximately 30 to 45 minutes or until chicken is done. add a little water if necessary to replace any lost in steam.<|endofrecipe|>"
345;"<|startofrecipe|>ingredients:
lemon jello
water
cold water
cabbage
celery
grated carrot
green pepper
pineapple tidbits
directions:
mix box of jello with the cup of boiling water.
mix until dissolved.
add cold water.
let jell slightly, then add all other ingredients.
mix and jell in a flat, 1 1/2-quart dish.
cut into squares to serve on a lettuce leaf.<|endofrecipe|>"
346;"<|startofrecipe|>ingredients:
flour
cornstarch
soda
baking powder
egg
cold water
paprika
directions:
mix all ingredients with a mixer.
deep-fry shrimp.<|endofrecipe|>"
347;"<|startofrecipe|>ingredients:
chicken
cream cheese
onion
soy sauce
mayonnaise
pecans
maraschino cherry
directions:
combine all ingredients, except nuts and cherry.
form into ball.
roll in enough nuts to cover.
(if too soft, chill a little first, then roll in nuts.)
can garnish with cherry on top.<|endofrecipe|>"
348;"<|startofrecipe|>ingredients:
peanuts
butter
peanut butter
condensed milk
marshmallows
directions:
place half the peanuts in an ungreased 11 x 7-inch pan.
in saucepan, melt butter and peanut butter chips over low heat.
add milk and marshmallows.
cook and stir until melted.
pour over peanuts.
sprinkle remaining peanuts on top.
cover; refrigerate. cut into bars.
makes 5 to 6 dozen.<|endofrecipe|>"
349;"<|startofrecipe|>ingredients:
dates
baking soda
water
margarine
sugar
salt
walnuts
egg
flour
directions:
sprinkle dates with baking soda and cover with hot water.
let stand until cool.
cream margarine, sugar and egg.
add dry ingredients, nuts and dates.
pour into lightly greased 8 x 8-inch pan and bake at 350° for at least 45 minutes.<|endofrecipe|>"
350;"<|startofrecipe|>ingredients:
yellow cake mix
margarine
egg
nuts
confectioners sugar
cream cheese
eggs
directions:
mix yellow cake mix, margarine, egg and 1/2 cup chopped nuts. this mixture will be thick.
press into greased 9 x 10-inch pan. mix confectioners sugar, cream cheese and 2 eggs.
beat until smooth.
pour over cake batter.
bake at 350° for 45 minutes.<|endofrecipe|>"
351;"<|startofrecipe|>ingredients:
shortening
flour
salt
water
white syrup
directions:
combine water and white syrup in a very large bowl.
add all other ingredients and mix well.
roll into crust size balls, wrap and freeze.
rolls out great.
makes 20 to 24 balls.<|endofrecipe|>"
352;"<|startofrecipe|>ingredients:
graham cracker crumbs
sugar
unsalted butter
directions:
preheat the oven to 375°. in the bowl of a food processor fitted with the metal blade, process the graham crackers and sugar to fine crumbs. with the motor running, add the butter and process until the crumbs are moist and stick together. press the graham cracker mixture into the bottom and sides of a 9-inch pie pan. bake in the center of the oven for 8 minutes or until the edges are slightly brown. makes a single 9-inch crust.<|endofrecipe|>"
