;Full Recipe
967;"<|startofrecipe|>ingredients:
tuna fish
cream of mushroom soup
macaroni
celery
onion
peas
water
salt
directions:
make macaroni and cheese according to package directions.
if peas are frozen, cook and drain.
cook celery and onion and drain. add all ingredients.
bake at 350° for 35 minutes in large baking dish.<|endofrecipe|>"
968;"<|startofrecipe|>ingredients:
eggs
margarine
syrup
white sugar
coconut
vanilla
directions:
cream margarine and eggs. add next 5 ingredients to the margarine egg mixture and blend together. put into 2 unbaked pie shells. bake 1 hour at 325°.<|endofrecipe|>"
969;"<|startofrecipe|>ingredients:
hamburger
garlic
chili powder
salt
pepper
tomatoes
onion
kidney beans
spaghetti
directions:
heat a heavy skillet over moderate heat.
add hamburger, onion and garlic.
stir until meat is browned.
stir in next 3 ingredients well.
turn beans (that have been rinsed in cold water and drained) and tomatoes into meat mixture.
heat to boiling; add spaghetti.
reduce heat to simmer.
cook 30 minutes, stirring often.
if chili is too thick, add a little hot water.
serves 4.<|endofrecipe|>"
970;"<|startofrecipe|>ingredients:
chicken
swiss cheese
cream chicken soup
milk
herb stuffing mix
margarine
directions:
arrange chicken breasts in a lightly greased 12 x 8 x 2 baking dish. top with a slice of swiss cheese. combine soup and milk. stir well. spoon over chicken. sprinkle with stuffing mix. drizzle butter over crumbs. cover and bake at 350° for 50 minutes. yields 6 servings.<|endofrecipe|>"
971;"<|startofrecipe|>ingredients:
butter
sugar
eggs
water
flour
baking powder
salt
vanilla
powdered milk
directions:
combine and mix well the butter, sugar, eggs and water. add flour, baking powder, salt, vanilla and powdered milk. mix well. roll, cut out and bake at 350°.<|endofrecipe|>"
972;"<|startofrecipe|>ingredients:
almond bark
marshmallows
peanuts
rice krispies
cap'n
directions:
melt almond bark with package directions. stir in all other ingredients. drop and shape on waxed paper.<|endofrecipe|>"
973;"<|startofrecipe|>ingredients:
sparkling mineral water
apple juice
freshly squeezed lemon juice
apple
directions:
pour water and apple juice into a glass.
stir in lemon juice.
garnish with apple slices and mint.<|endofrecipe|>"
974;"<|startofrecipe|>ingredients:
butter
flour
sugar
milk
peaches
directions:
melt butter in pyrex dish.
sift dry ingredients together. pour batter into melted butter.
pour fruit into batter.
don't stir.
bake at 350° for 40 or 45 minutes.<|endofrecipe|>"
975;"<|startofrecipe|>ingredients:
bacon
grease
brown sugar
vinegar
mustard
directions:
heat green beans (2 cans) and drain. mix last 4 ingredients and heat. pour liquid mixture over the beans. crumble bacon on top. serve hot.<|endofrecipe|>"
976;"<|startofrecipe|>ingredients:
red raspberry
water
white cake mix
egg
flaked coconut
pecans
butter
directions:
spread pie filling in bottom of 8-inch square pan.
combine cake mix, water and egg; beat well.
pour over pie filling. sprinkle coconut and pecans on top.
drizzle melted butter over top.
bake in a 350° oven for 40 minutes.
serve warm.<|endofrecipe|>"
977;"<|startofrecipe|>ingredients:
chicken
onion
cheese
doritos
cream of chicken soup
cream of mushroom soup
ro-tel
directions:
boil chicken in water.
cool and cut into pieces.
put in a 9 x 13-inch dish.
place on top of chicken in following order: chopped onion, grated cheese and crushed doritos.<|endofrecipe|>"
978;"<|startofrecipe|>ingredients:
sugar
light corn syrup
salt
peanuts
butter
vanilla
soda
directions:
in 2-quart casserole (i use 2-quart measuring cup), mix the sugar, syrup and salt.
microwave on high for 5 minutes.
stir in peanuts.
microwave on high for 2 to 6 minutes or until syrup and peanuts are lightly browned, stirring after every 2 minutes of cooking time.
stir in butter, vanilla and baking soda until light and foamy.
spread to 1/4-inch thickness on a large well-buttered cookie sheet.
when cool, break into small pieces.<|endofrecipe|>"
979;"<|startofrecipe|>ingredients:
milk
vinegar
onion soup mix
catsup
worcestershire sauce
red pepper
directions:
in a covered jar, shake all ingredients together well.
makes 2 1/2 cups dressing.<|endofrecipe|>"
980;"<|startofrecipe|>ingredients:
margarine
milk
cocoa
sugar
oats
peanut butter
vanilla
nuts
directions:
melt butter in saucepan.
add
milk,
cocoa
and sugar. stir well and boil for 1
minute.
take	from heat and immediately add peanut butter.
stir
well.
add
vanilla,	oats and nuts;	stir well.
drop from teaspoon quickly onto wax paper.<|endofrecipe|>"
981;"<|startofrecipe|>ingredients:
vanilla flavored candy coating
corn
noodles
peanuts
pecan
directions:
place candy coating in microwave.
melt according to directions. stir melted coating in remaining ingredients.
spread on wax paper to cool. break into pieces and store in an airtight container.<|endofrecipe|>"
982;"<|startofrecipe|>ingredients:
carrots
onions
celery
green split peas
tomato puree
garlic
water
ham
potatoes
marjoram
basil
oregano
thyme
bay leaves
curry powder
salt
directions:
soak the split peas overnight.
in a large pot (preferably 3-4 gallons) heat a small amount of oil until very hot.
add the carrots, onions and celery and sweat the vegetables.
add the garlic and sweat a few more minutes.
add the curry powder to the vegetables and stir until curry is thoroughly mixed with the vegetables.
add all remaining ingredients to the pot.
bring this to a boil, reduce heat and simmer for approximately three hours. adjust the seasoning with salt and pepper.
remove the bay leaves and puree the soup through a food mill or in an electric blender. chill thoroughly.
this is the base for chippewa soup.
it should be slightly salty because it is the base and needs to be creamed before use.<|endofrecipe|>"
983;"<|startofrecipe|>ingredients:
crust
sugar
coconut
low-fat milk
directions:
mix pudding mix with 3 cups milk. add coconut.	pour in baked or graham pie crust. cover with cool whip. sprinkle with toasted coconut. keep in refrigerator.<|endofrecipe|>"
984;"<|startofrecipe|>ingredients:
chicken pieces
white vinegar
soy sauce
onion
garlic
black pepper
mustard
ketchup
milk
directions:
mix together vinegar, soy sauce, onions, garlic and pepper. add chicken and marinate overnight.
remove chicken.
combine mustard and ketchup; coat chicken pieces well.
bake chicken, skin side down, for 30 minutes.
turn chicken pieces over.
mix together remaining mustard and ketchup, coating mix, milk and remaining marinade.
pour over chicken pieces and bake an additional 45 minutes.
serve over rice.
baking temperature is 350°.
baking time is 1 hour and 15 minutes total.<|endofrecipe|>"
985;"<|startofrecipe|>ingredients:
chicken breasts
frozen broccoli
cream of celery soup
curry powder
lemon juice
american cheese
cheddar cheese
bread crumbs
margarine
directions:
butter sides and bottom of 13 x 9-inch dish.
boil and debone chicken.
chop in bite size pieces.
steam broccoli until crisp and lay broccoli in bottom of dish.
spread chicken on top.
place american cheese evenly on top of chicken.
open 2 cans soup and place 1/2 teaspoon curry powder and 1 teaspoon lemon juice in each can.
stir.
pour the soup on top of the cheese and spread evenly. slice cheddar cheese and place evenly over soup.
melt 1/2 stick margarine.
add 1 cup bread crumbs and stir until moist.
sprinkle crumb mixture on top of casserole.
bake at 350° for 35 to 40 minutes.<|endofrecipe|>"
986;"<|startofrecipe|>ingredients:
butter
sugar
eggs
milk
nutmeg
vanilla
flour
baking powder
directions:
cream butter and sugar.
add eggs one at a time, mixing well after each addition.
add milk, nutmeg and vanilla.
sift flour and baking powder together and combine with other mixture.
add enough additional flour to roll out and cut.
bake on ungreased cookie sheet in oven at 325° for 15 minutes.
yield: approximately 4 dozen.
happy eating!<|endofrecipe|>"
987;"<|startofrecipe|>ingredients:
eggs
milk
frozen lemonade
salt
butter
bread
directions:
in a wide shallow bowl, beat 1st four ingredients. for each slice, melt 1 tablespoon of butter in skillet. dip bread in egg mixture; turn and coat the other side. cook slices in butter, browning on both sides. serve with sauce as follows.<|endofrecipe|>"
988;"<|startofrecipe|>ingredients:
spaghetti
olive oil
parmesan cheese
eggs
cottage cheese
low-fat ground beef
onion
green pepper
spaghetti sauce
mozzarella
directions:
cook spaghetti (about 3 cups).
stir olive oil into hot spaghetti.
stir in parmesan cheese and eggs.
form spaghetti mixture into a ""crust"" in a 10-inch pie plate sprayed with pam. spread cottage cheese over bottom of spaghetti crust.<|endofrecipe|>"
989;"<|startofrecipe|>ingredients:
whole kernel corn
cream-style corn
sour cream
oleo
corn bread
directions:
mix all together well.
bake 1 hour at 350°.<|endofrecipe|>"
990;"<|startofrecipe|>ingredients:
chicken
celery
rice
cream of chicken soup
mayonnaise
pecans
butter
onion
directions:
mix all ingredients together in buttered casserole dish. sprinkle grated cheese over top of casserole.
bake at 350° until bubbly, at least 1 hour.
makes 4 to 6 servings.<|endofrecipe|>"
991;"<|startofrecipe|>ingredients:
flour
eggs
baking powder
red food coloring
salt
soda
sugar
cocoa
shortening
buttermilk
directions:
sift all dry ingredients in a large mixing bowl.
stir.
add the rest and beat with electric mixer for 2 minutes.
pour into greased and floured pans (2).
i use small tube pan.
bake at 350° for 30 minutes.
tube pan takes 40 minutes.<|endofrecipe|>"
992;"<|startofrecipe|>ingredients:
egg
milk
shortening
sugar
flour
blueberries
directions:
mix thoroughly.
pour into muffin pans and bake at 350°.<|endofrecipe|>"
993;"<|startofrecipe|>ingredients:
chicken
olive oil
hot pepper
lemons
ground pepper
salt
directions:
using poultry shears, cut the bird open by cutting down the backbone.
flatten a bit by pounding with your hand so that the chicken is ""butterflied"".
mix the remaining ingredients in a large bowl; marinate the bird for 2 hours.<|endofrecipe|>"
994;"<|startofrecipe|>ingredients:
instant tea
cinnamon
sugar
directions:
mix 3 heaping tablespoonfuls per cup of hot water.<|endofrecipe|>"
995;"<|startofrecipe|>ingredients:
graham cracker pie crust
chocolate curls
directions:
mix chopped heath bars with whipped topping and pour into crust.
top with chocolate curls or chopped nuts.
refrigerate.<|endofrecipe|>"
996;"<|startofrecipe|>ingredients:
brown sugar
butter
light corn syrup
bread
eggs
milk
cinnamon
directions:
cook brown sugar, butter and corn syrup in small saucepan until butter melts.
pour into 9 x 13-inch pan.
layer bread in pan, squeezing together to fit.
mix eggs, milk and cinnamon. pour over bread (you can cover and refrigerate overnight).
bake at 350° for 30 minutes or until center is done and lightly browned.<|endofrecipe|>"
997;"<|startofrecipe|>ingredients:
ground beef
bread crumbs
cream cheese
onion soup
salt
nutmeg
milk
stroganoff sauce mix
directions:
combine meat, bread crumbs, cheese, soup mix, seasonings and 1/4 cup milk; mix thoroughly (with hands).
form into small balls. brown lightly; remove to a baking dish.
drain excess grease, leaving small amount in skillet.
blend in sauce mix and remaining milk (add more or less milk for desired thickness).
cook until thick and bubbly.
pour over meat balls.
bake in a 350° oven for 30 to 45 minutes.<|endofrecipe|>"
998;"<|startofrecipe|>ingredients:
lamb
water
onion soup
bay leaf
carrots
potatoes
flour
directions:
in 4-quart casserole, combine lamb, 1 1/4 cups water, soup mix and bay leaf.
heat, covered, 7 to 8 minutes on high.
continue cooking on power level 3 for 35 to 40 minutes.
stir occasionally. add carrots, heat on level 3 for 15 minutes until ingredients are done.
stir once.
peel and cube potatoes and add to stew.
blend flour and remaining water.
heat 5 minutes on high, or until thickened, stirring twice.
serves 6.<|endofrecipe|>"
999;"<|startofrecipe|>ingredients:
jello
food
condensed milk
cream cheese
hot water
sugar
pineapple
directions:
mix jello with hot water and sugar. allow to come to a boil. take off stove and add peaches and pineapple.<|endofrecipe|>"
1000;"<|startofrecipe|>ingredients:
oyster crackers
salad dressing
lemon pepper
dill weed
garlic powder
salad oil
directions:
combine salad dressing mix and oil.
add dill weed, garlic powder and lemon pepper.
pour over crackers; stir to coat.
place in warm oven.
use very low temperature for 15 to 20 minutes.<|endofrecipe|>"
1001;"<|startofrecipe|>ingredients:
bread
provolone cheese
pepperoni stick
egg
sesame seed
directions:
take thawed bread and roll out onto cookie sheet.
set on door of oven preheated to 350° and let it rise for 15 to 20 minutes (until puffy).
lay the slices of provolone over entire loaf and then layer the pepperoni slices.
roll bread in a jelly-like roll. take egg white and baste bread.
sprinkle sesame seed on top. bake at 350° for 30 minutes.<|endofrecipe|>"
1002;"<|startofrecipe|>ingredients:
oatmeal
honey
salt
flour
soda
butter
buttermilk
directions:
grind oatmeal in blender until fine.
add honey, salt, flour and soda.
stir. cut in butter. add buttermilk and stir.
roll very thin.
cut with animal cookie cutters.
bake at 400° until brown (10 to 12 minutes).<|endofrecipe|>"
1003;"<|startofrecipe|>ingredients:
water
bacon
onion
flour
salt
sugar
directions:
cook kraut and water about 10 minutes.
fry bacon.
add onion to
drippings and cook until onion is glazed.
add flour and stir well.
pour
water from kraut into gravy mixture and add sugar. add kraut.
salt and pepper to taste.
let mixture come to a boil, if too thick add more water.<|endofrecipe|>"
1004;"<|startofrecipe|>ingredients:
cabbage
onion
sugar
celery
salt
vinegar
mustard
salad oil
directions:
place alternate layers of cabbage and onions in a large bowl. cover with sugar and celery seed.
boil together vinegar, salt and mustard.
add oil; heat again to boiling.
pour over cabbage and onions.
do not mix.
refrigerate at least 4 hours.
better after 24 hours.
stir and serve.
keeps well.<|endofrecipe|>"
1005;"<|startofrecipe|>ingredients:
potatoes
olive oil
salt
freshly ground black pepper
rosemary
arugula
directions:
preheat oven to 450°.
in large roasting pan, toss potatoes with the oil and seasoning until coated.
bake 40 minutes, stirring once, until potatoes are tender.
place arugula in large serving bowl.
add potato mixture and toss until arugula is wilted.
serve hot or at room temperature.
makes 4 servings.<|endofrecipe|>"
1006;"<|startofrecipe|>ingredients:
cream cheese
pineapple
marshmallows
pecans
directions:
mix all ingredients together by hand, squeezing to remove any cream cheese lumps.
pour into a bowl or 9 x 13 pan and let stand in the refrigerator overnight before serving.<|endofrecipe|>"
1007;"<|startofrecipe|>ingredients:
ground beef
onion
clove garlic
water
noodles
green pepper
parsley
tomatoes
bouillon cubes
mushrooms
directions:
saute ground beef, pepper, onion, parsley and garlic.
in large deep pot, place tomatoes, water and bouillon cubes.
add the sauteed mixture and simmer for 20 minutes.
cook tiny bow noodles; drain.
add to mixture.
just before serving, add fresh sauteed mushrooms.<|endofrecipe|>"
1008;"<|startofrecipe|>ingredients:
scallops
shrimp
imitation crab
green onions
olive oil
eggs
mayonnaise
rotini noodles
directions:
boil the noodles, then rinse and put in a bowl which you will be using for serving the salad.
saute scallops in the olive oil. add the scallops along with the rest of the seafood to the noodles.
dice the green onions (exclude the chive part) and boiled eggs.
add to the salad.
add mayonnaise; use more or less for taste.
mix ingredients together.
ready to serve!<|endofrecipe|>"
1009;"<|startofrecipe|>ingredients:
onion
margarine
veg-all
cream of chicken soup
mayonnaise
cheese
eggs
chicken
bisquick
milk
margarine
directions:
saute onion in 2 tablespoons margarine.
add next six ingredients and mix.
spread in a casserole dish.<|endofrecipe|>"
1010;"<|startofrecipe|>ingredients:
condensed milk
peanut butter
egg
vanilla extract
bisquick baking mix
sugar
kisses
directions:
preheat oven to 350°.
in mixer bowl, beat condensed milk, peanut butter and vanilla until smooth.
add bisquick; mix well. chill at least 1 hour.
shape into 1-inch balls.
roll in granulated sugar.
place 2 inches apart on ungreased baking sheets.
bake 10 to 12 minutes or until lightly browned.
do not overbake.
press hershey kiss in center of each cookie immediately after baking.
cool.
store tightly covered at room temperature.<|endofrecipe|>"
1011;"<|startofrecipe|>ingredients:
stove top stuffing
directions:
sprinkle top with 1 cup grated cheese.
bake at 350° for 45 minutes to 1 hour.<|endofrecipe|>"
1012;"<|startofrecipe|>ingredients:
boneless chicken
broccoli
cream of mushroom soup
sour cream
velveeta cheese
bread crumbs
directions:
in greased casserole dish, mix chicken, broccoli, soup, sour cream, 1/2 cheese and 1 cup bread crumbs.
spread evenly.
top with remainder of cheese and bread crumbs.
bake at 350° for approximately 1 hour.<|endofrecipe|>"
1013;"<|startofrecipe|>ingredients:
ground beef
garlic powder
onion
onion-mushroom soup mix
water
salt
worcestershire
directions:
brown meat and drain off fat. add onion and simmer until tender. add all other ingredients and simmer 20 to 25 minutes. spoon mixture onto (toasted) buns. add mustard and pickle slices if desired.<|endofrecipe|>"
1014;"<|startofrecipe|>ingredients:
carrots
onion
green pepper
tomato soup
sugar
vinegar
worcestershire sauce
mustard
directions:
combine sauce ingredients.
add salt and pepper to taste. pour over vegetables.
allow to sit (refrigerated) for 24 hours. serve on cold platter as salad or relish.
serves 8.<|endofrecipe|>"
1015;"<|startofrecipe|>ingredients:
flour
baking powder
salt
shortening
sugar
egg
lemon juice
sugar
directions:
sift together flour, baking powder and salt.
heat oven to 400°.
work shortening in a bowl until creamy.
add the 1 cup granulated sugar and beat until well blended.
add egg; beat thoroughly.
add sifted dry ingredients alternately with lemon juice to creamed mixture.
beat until smooth.
cover and chill 1 hour.
roll a small portion of dough at a time on a lightly floured board to a thickness of about 1/4-inch.
(keep rest of dough refrigerated.)
cut with a 2-inch cookie cutter.
place cookies 2 inches apart on a lightly greased cookie sheet and sprinkle with granulated sugar.
bake 10 to 12 minutes, until edges are lightly browned.
cool on wire racks.
makes about 4 to 5 dozen cookies.<|endofrecipe|>"
1016;"<|startofrecipe|>ingredients:
mix
sharp cheese
corn
onion
oil
sugar
bell pepper
eggs
buttermilk
peppers
directions:
preheat oven to 350°.
mix and bake at 350° in cookie sheet for about 30 minutes or until done.<|endofrecipe|>"
1017;"<|startofrecipe|>ingredients:
egg
sugar
molasses
shortening
water
flour
baking soda
cinnamon
cloves
ginger
salt
directions:
mix together the first 5 ingredients.
combine remaining dry ingredients together and add to molasses mixture.
mix well.
let set overnight in refrigerator.
roll out and bake at 350° for 12 minutes.<|endofrecipe|>"
1018;"<|startofrecipe|>ingredients:
ground beef
hot italian sausage
italian style tomatoes
bread crumbs
onion
green pepper
egg
directions:
in large bowl, combine all ingredients; mix well.
place in 4 1/2 x 8-inch loaf pan.
bake at 350° for 1 hour; drain.<|endofrecipe|>"
1019;"<|startofrecipe|>ingredients:
graham cracker crumbs
margarine
powdered sugar
eggs
bananas
pineapple
bowl
nuts
cherries
directions:
first layer:
mix graham cracker crumbs with melted oleo and press into bottom of 9 x 13-inch pan.<|endofrecipe|>"
1020;"<|startofrecipe|>ingredients:
sugar
butter
eggs
buttermilk
flour
vanilla
directions:
cream butter
and
sugar.
add eggs, one at a time, and mix well.
add buttermilk.
add flour, 1 cup at a time, mixing well. add vanilla.
for
layer cake bake at 350° for 35 to 40 minutes. for sheet
cake
pan
bake at 325° for 1 hour and 20 minutes. makes
three
layers
or
sheet cake.
real nice for birthdays.<|endofrecipe|>"
1021;"<|startofrecipe|>ingredients:
frozen broccoli cuts
butter
onion
rice
cream of mushroom soup
directions:
thaw broccoli.
cook chopped onion in butter until tender. add rest.
no salt!
excellent for potlucks.
bake at 350° for 1 hour.<|endofrecipe|>"
1022;"<|startofrecipe|>ingredients:
black beans
ground raw turkey
onion
chili powder
bottled salsa
cheddar cheese
sour cream
fresh cilantro
salt
pepper
avocado
tomatoes
green onions
tortilla chips
directions:
combine beans, turkey, onion and chili powder in a skillet. cook over medium heat until turkey is brown.
stir occasionally to mash beans and break up turkey.
stir in salsa and place in microwave-proof dish.
sprinkle with cheese and microwave on high 1 to 2 minutes until cheese is melted.
combine sour cream, cilantro, salt and pepper and spread on top.
sprinkle with avocado, tomato and green onions.
serve with tortilla chips.
makes 7 cups.<|endofrecipe|>"
1023;"<|startofrecipe|>ingredients:
orange roughy
onion
butter
orange juice
garlic
directions:
fry onion in butter until golden.
cover pan with foil.
lay fish out.
put butter, garlic and 1 teaspoon of orange juice on top of fish.
broil for 20 to 25 minutes.<|endofrecipe|>"
1024;"<|startofrecipe|>ingredients:
unflavored gelatin
cold water
chicken bouillon cubes
tomato juice
lemon juice
dill weed
salt
hot sauce
green onion
tomatoes
cucumbers
directions:
soften gelatin in 1 cup cold water; add bouillon cubes. place over
low
heat, stirring constantly, until gelatin and bouillon cubes dissolve.
remove from heat and add remaining 1 cup
water, tomato
juice,
lemon juice, dill weed, salt, hot sauce and green onion. chill gelatin mixture until consistency of unbeaten egg white.<|endofrecipe|>"
1025;"<|startofrecipe|>ingredients:
banana
strawberries
sugar
vanilla
milk
directions:
put ingredients in a blender and whip for 1 minute.
serve immediately.
makes 2 large glasses.<|endofrecipe|>"
1026;"<|startofrecipe|>ingredients:
water chestnuts
oleo
grated cheese
mushroom soup
bread
directions:
melt oleo; slice bread in finger size slices.
dip in melted oleo and set aside.
drain cooked asparagus and place in a long casserole dish.
cut water chestnuts and place on top.
(i use the juice too.)
put cheese on that, then cover with mushroom soup. cover with bread slices.
bake at 350° until bread is brown.<|endofrecipe|>"
1027;"<|startofrecipe|>ingredients:
potatoes
carrots
celery
peas
rice
ground chuck
tomato soup
directions:
building from bottom of covered (tall) casserole dish (2 1/2-quarts), spread in layers, 2 cubed raw potatoes (1/4-inch cubes), 2 diced raw carrots, diced celery (enough to cover layer), small can peas, drained, 1 1/2 tablespoons minute rice (cover peas), 1/2 pound raw ground chuck.
pat down; add 1 cup tomato soup.
final layer, another 1/2 pound ground chuck.
bake at 350° for 1 1/2 hours covered.<|endofrecipe|>"
1028;"<|startofrecipe|>ingredients:
ground meat
onion
spinach
mushrooms
garlic
salt
shell macaroni
cheddar
parmesan cheese
bread crumbs
eggs
oil
directions:
brown beef, onion and garlic in skillet.
add sauce.
cook spinach according to directions.
drain.
mix spinach, eggs and oil, then combine this mixture with pasta, cheeses and crumbs. spread in a 9 x 13-inch greased dish and top with meat sauce.
bake for 30 minutes at 350°, covered with foil.
let stand 10 minutes before cutting.<|endofrecipe|>"
1029;"<|startofrecipe|>ingredients:
perch fillets
red onion
low-fat margarine
lemon juice
salt
directions:
grease a 9-inch square baking dish.
place fillets in pan. arrange onions down center of fish.
dot each fillet with margarine.
sprinkle with lemon juice, salt and pepper.
bake at 425° for 30 minutes or until fillets flake with fork.
cut into portions.
serve.
makes 6 servings, 118 calories each.<|endofrecipe|>"
1030;"<|startofrecipe|>ingredients:
flour
sugar
cocoa
baking soda
mayonnaise
water
vanilla
directions:
mix flour, sugar, cocoa and baking soda.
blend in remaining ingredients.
preheat oven to 350°.
bake 30 to 35 minutes by inserting toothpick into center.
when clean when pulled out tells you it's ready.
let cool and remove from pans.
great by itself or you may add frosting or icing of your choice.<|endofrecipe|>"
1031;"<|startofrecipe|>ingredients:
onions
butter
broccoli
cream of chicken soup
cheese
rice
directions:
saute onions in butter.
add broccoli and simmer until tender. add remaining ingredients and heat until smooth.
pour into a greased 2-quart casserole dish and bake at 350° for 30 minutes.<|endofrecipe|>"
1032;"<|startofrecipe|>ingredients:
thin spaghetti
butter
fresh mushrooms
onions
cheese
sour cream
oregano
salt
pepper
directions:
saute butter, mushrooms and onions.
add to rest of ingredients and gently mix together.
bake in a 9 x 13-inch greased casserole at 350° for 45 minutes.<|endofrecipe|>"
1033;"<|startofrecipe|>ingredients:
rice
ground beef
carrots
green onions
salt
accent seasoning
soy sauce
directions:
wash rice in several cold water rinses until water is clear. put into 3-quart saucepan with water to cover rice, about 1-inch from top of rice. cook on high until this boils.
turn on low heat with lid until all water is absorbed and rice is tender and flaky. turn heat off and let steam with lid on.<|endofrecipe|>"
1034;"<|startofrecipe|>ingredients:
cream of celery soup
water
regular rice
chicken
onion soup
directions:
line bottom of 9 x 13-inch pan with foil.
sprinkle the rice on the foil and place chicken pieces on rice.
mix soup and water, then spread over chicken.
sprinkle onion soup mix over all. cover and seal.
bake at 350° for 2 1/2 hours, without peeking.<|endofrecipe|>"
1035;"<|startofrecipe|>ingredients:
green beans
kidney beans
green pepper
yellow beans
onion
sugar
salt
black pepper
oil
vinegar
directions:
let marinate in refrigerator overnight.<|endofrecipe|>"
1036;"<|startofrecipe|>ingredients:
white potatoes
onions
ground beef
tomatoes
salt
pepper
directions:
make 1 pound of your favorite meat loaf and pat into a 10-inch pie plate.
spread 1 small can of tomato sauce over top and bake in a 350° oven for 45 minutes.
then add grated cheese over top and put back in oven until cheese is melted.
slice like pie and serve with beer bread.<|endofrecipe|>"
1037;"<|startofrecipe|>ingredients:
beef
margarine
garlic
minor beef base
stout
water
prunes
thyme
pepper
potatoes
carrots
onions
flour
directions:
brown beef in margarine; add garlic and saute for 2 to 3 minutes.
add flour to meat; stir.
add guiness and stir well to remove any lumps.
add remaining ingredients, stirring very frequently, to avoid sticking.
stew is done when potatoes and carrots are tender.<|endofrecipe|>"
1038;"<|startofrecipe|>ingredients:
beans
brown sugar
bacon grease
mustard
vinegar
bacon
water
directions:
fry bacon.
remove from grease.
pour off grease, leaving at least 4 tablespoons.
add sugar, mustard, vinegar and water.
heat until dissolved.
add beans.
cook about 5 minutes.
serve at room temperature.
crumble bacon over top of beans when ready to serve.<|endofrecipe|>"
1039;"<|startofrecipe|>ingredients:
flour
baking soda
salt
corn oil
sugar
eggs
vanilla
apples
pecans
margarine
brown sugar
milk
directions:
grease and flour a 10 x 4-inch bundt pan.
thoroughly stir together flour, soda and salt.
in a large mixing bowl at medium speed, beat oil, granulated sugar, eggs and vanilla until combined. gradually beat in flour mixture until smooth.
fold in apples and pecans.
turn into prepared pan.
bake in preheated oven at 325° for 1 hour and 20 minutes.
place cake in pan on wire rack to cool 20 minutes.<|endofrecipe|>"
1040;"<|startofrecipe|>ingredients:
corn meal
cold water
water
salt
grated cheese
tomato sauce
directions:
in pan mix corn meal with 1 cup cold water.
add 3 cups hot water and salt.
cook over medium heat, stirring constantly for 7 to 8 minutes,
bringing
heat
down to low.
place in two dishes, cover with gravy and sprinkle with grated cheese.<|endofrecipe|>"
1041;"<|startofrecipe|>ingredients:
olives
butter
english cheese spread
flour
directions:
soften butter.
add cheese and blend well.
blend in flour, a little at a time.
form dough around each olive, approximately 3/4-inch in diameter.
bake, on cookie sheet, for 10 to 15 minutes at 375°.<|endofrecipe|>"
1042;"<|startofrecipe|>ingredients:
gelatin
cold water
boiling water
level
fresh nonfat milk
yogurt
sugar
peanuts
directions:
sprinkle gelatin on cold water in blender or food processor, using steel blade.
wait one minute, then add boiling water. cover and process until gelatin granules dissolve.
add peanut butter.
process until blended.
add milk, yogurt and pudding mix. process until smooth.
wait 5 minutes for mixture to thicken, then put into dessert cups or into pie shell.
chill until set. sprinkle with peanuts, if desired.<|endofrecipe|>"
1043;"<|startofrecipe|>ingredients:
eggs
sugar
flour
vanilla
salt
milk
heavy cream
nutmeg
shell
directions:
beat eggs and sugar together until creamy, then add flour, vanilla, salt, milk and heavy cream.
pour in unbaked pie shell. sprinkle with nutmeg and bake in oven at 425° for 15 minutes, then at 325° for 40 minutes.<|endofrecipe|>"
1044;"<|startofrecipe|>ingredients:
ground beef
pepper
salt
worcestershire sauce
cornflakes
ketchup
onions
carnation milk
barbecue sauce
directions:
combine ingredients, except barbecue sauce.
shape into 1-inch balls.
place on broiler rack (or place in oven on a cookie sheet) at 400°.
turn once.
cook until done.
combine meatballs with barbecue sauce.<|endofrecipe|>"
1045;"<|startofrecipe|>ingredients:
corn
corn
corn mix
sour cream
margarine
directions:
melt margarine.
mix remaining ingredients in a bowl.
add melted margarine and stir.
cook in oven at 350° for 45 minutes.<|endofrecipe|>"
1046;"<|startofrecipe|>ingredients:
onion
green pepper
butter
chicken broth
hominy
tomato soup
flour
directions:
saute peppers and onion in butter until translucent.
add 1 or 2 tablespoons of flour.
stir to mix well.
add chicken broth, stirring until mixture thickens.
add hominy and tomato soup.
mix thoroughly and continue heating to boiling point.
simmer to blend flavors.
serve hot.<|endofrecipe|>"
1047;"<|startofrecipe|>ingredients:
head cabbage
onion
garlic powder
salt
ground beef
sauerkraut
tomato sauce
water
instant rice
egg
milk
directions:
boil cabbage for 30 minutes. drain and cool. cook instant rice. add to ground beef, egg, milk, onion, garlic and salt.
mix thoroughly. stuff cabbage leaves with ground beef mixture. arrange in ""spaghetti"" pot.
pour in tomato sauce and sauerkraut with 1 cup water.
cook over medium heat for 1
to 1 1/2 hours.
serves 4.<|endofrecipe|>"
1048;"<|startofrecipe|>ingredients:
ground beef
onion
garlic
tomato sauce
catsup
sugar
oregano
parmesan cheese
cream cheese
directions:
saute ground beef with onion and garlic in skillet until brown; drain.
add next 4 ingredients, mixing well.
simmer for 10 minutes.
add parmesan cheese, mixing well.
mix in cream cheese. pour into chafing dish.
serve warm with taco chips.
makes 2 1/2 cups.<|endofrecipe|>"
1049;"<|startofrecipe|>ingredients:
oleo
flour
sour cream
directions:
mix all ingredients together.
drop out on cookie sheet by tablespoon or pour into muffin cups.
makes 12 muffins.
bake at 400° for 15 minutes.<|endofrecipe|>"
