;Full Recipe
87;"<|startofrecipe|>ingredients:
confectioners sugar
cocoa
nuts
margarine
velveeta
vanilla
directions:
in large bowl, put confectioners sugar, cocoa and chopped nuts.
in saucepan, put margarine and velveeta.
melt and add vanilla.
pour hot mixture over sugar mixture.
mix quickly and pour into buttered cookie sheet.
cool and cut into squares.<|endofrecipe|>"
88;"<|startofrecipe|>ingredients:
squash
onions
sour cream
carrots
chicken
stuffing mix
butter
salt
directions:
cook squash, onions and carrots until tender.
mash.
melt butter in pan; stir in stuffing until all is coated.
drain all water from squash.
stir in sour cream and soup.
place in a greased baking dish a layer of squash and a layer of stuffing. bake at 350° for 35 minutes.<|endofrecipe|>"
89;"<|startofrecipe|>ingredients:
cream cheese
cheddar cheese
pimento
green pepper
onion
lemon juice
worcestershire sauce
tabasco sauce
salt
directions:
combine softened cream and cheddar cheeses.
add chopped up items.
mix and add liquids last.
mix well.
roll into ball and cover with chopped nuts.<|endofrecipe|>"
90;"<|startofrecipe|>ingredients:
apricot jello
sugar
cream cheese
jars junior baby food
pineapple
milk
water
directions:
dissolve jello in boiling water; add sugar.
blend in the cream cheese with a fork.
add can of crushed pineapple and apricot baby food.
refrigerate.
chill can of milk.
when jello starts to set, take milk out of the refrigerator and beat until stiff.
fold partially set jello into cream.
chopped nuts can be used for garnish.
this is a large salad; could fill a 2-quart mold or 2 (1-quart) molds.
serves about 12.<|endofrecipe|>"
91;"<|startofrecipe|>ingredients:
flour
sugar
baking powder
salt
eggs
margarine
butter
sweet milk
vanilla
directions:
have all ingredients at room temperature. hand stir all dry ingredients together. add eggs and stir. add butter and crisco and stir. add milk and stir. put batter in
mixer and beat at high speed until well blended. add 1 to 2 teaspoons of your favorite flavoring and mix well. pour batter into greased and floured tube pan. place in cold oven. bake at 325° for 1 hour and 20 to 30 minutes.<|endofrecipe|>"
92;"<|startofrecipe|>ingredients:
bread
margarine
brown sugar
vanilla pudding
milk
cinnamon
directions:
use greased 9 x 13-inch pan or bundt pan.
melt butter; add brown sugar, pudding, milk and cinnamon.
break up 1 loaf into round balls; place in pan.
pour mixture over and break second loaf over this.
rise 2 1/2 to 3 hours.
bake 30 minutes at 350°; turn out immediately to cool.<|endofrecipe|>"
93;"<|startofrecipe|>ingredients:
crescent rolls
cheese
hen
cream of chicken soup
milk
directions:
unroll crescent rolls; add cooked chicken and grated cheese. wrap roll over chicken and cheese; pinch sides together.<|endofrecipe|>"
94;"<|startofrecipe|>ingredients:
spanish rice
corned beef
onion
cheddar cheese
directions:
spray a 1-quart casserole dish with pam.
layer rice and meat, diced onion and grated cheese.
bake at 350° for 25 to 30 minutes.<|endofrecipe|>"
95;"<|startofrecipe|>ingredients:
pork
bell pepper
onions
catsup
brown sugar
salt
black pepper
ground beef
oil
directions:
cook onions and bell pepper in oil until onions are transparent.
add beef and cook until brown.
mix all ingredients together.
bake in 350° oven for 45 minutes, or after mixing together, pour in crock-pot and cook 6 to 10 hours on low.<|endofrecipe|>"
96;"<|startofrecipe|>ingredients:
chicken
shortening
onion
carrot chunks
water
chicken
brown sugar
cornstarch
ginger
catsup
vinegar
soy sauce
green pepper
pineapple
directions:
saute onion in 2 tablespoons shortening.
add carrots, water and bouillon cubes.
simmer 5 minutes.
combine next 6 ingredients.
add to vegetable mixture and cook until clear.
add pepper, pineapple and chicken.
cover and simmer 5 minutes or until heated through.
serve with rice or angel hair noodles. serves 6 people.<|endofrecipe|>"
97;"<|startofrecipe|>ingredients:
oranges
moist coconut
pecans
cherries
sugar
orange juice
directions:
combine all ingredients. chill overnight.
yields 4 to 6 servings.<|endofrecipe|>"
98;"<|startofrecipe|>ingredients:
peanut butter
sugar
egg
directions:
mix together and roll into balls; flatten with fork.
bake on ungreased cookie sheet.
makes 2 dozen.
quick, easy and good.<|endofrecipe|>"
99;"<|startofrecipe|>ingredients:
yellow cake mix
eggs
margarine
milk
pecans
directions:
mix together with a fork:
cake mix, 1 egg and margarine. press into a 13 x 9-inch pan.
next mix eagle brand milk, 1 egg, pecans and bits 'o brickle.
pour over cake mixture.
bake 30 minutes at 350°.
let cool and cut into bars.<|endofrecipe|>"
